"MJD","Year","Month","Day","YY.MMDD","X","timestamp","LOD[msec]","sigma_LOD[msec]"
37901,1962,8,25,62.0825,236,1962-08-25,0.475,1.4
37902,1962,8,26,62.0826,237,1962-08-26,0.463,1.4
37903,1962,8,27,62.0827,238,1962-08-27,0.513,1.4
37904,1962,8,28,62.0828,239,1962-08-28,0.6,1.4
37905,1962,8,29,62.0829,240,1962-08-29,0.708,1.4
37906,1962,8,30,62.0830,241,1962-08-30,0.82,1.4
37907,1962,8,31,62.0831,242,1962-08-31,0.931,1.4
37908,1962,9,1,62.0901,243,1962-09-01,1.011,1.4
37909,1962,9,2,62.0902,244,1962-09-02,1.081,1.4
37910,1962,9,3,62.0903,245,1962-09-03,1.118,1.4
37911,1962,9,4,62.0904,246,1962-09-04,1.115,1.4
37912,1962,9,5,62.0905,247,1962-09-05,1.091,1.4
37913,1962,9,6,62.0906,248,1962-09-06,1.059,1.4
37914,1962,9,7,62.0907,249,1962-09-07,1.034,1.4
37915,1962,9,8,62.0908,250,1962-09-08,1.031,1.4
37916,1962,9,9,62.0909,251,1962-09-09,1.058,1.4
37917,1962,9,10,62.0910,252,1962-09-10,1.137,1.4
37918,1962,9,11,62.0911,253,1962-09-11,1.288,1.4
37919,1962,9,12,62.0912,254,1962-09-12,1.494,1.4
37920,1962,9,13,62.0913,255,1962-09-13,1.715,1.4
37921,1962,9,14,62.0914,256,1962-09-14,1.904,1.4
37922,1962,9,15,62.0915,257,1962-09-15,2.003,1.4
37923,1962,9,16,62.0916,258,1962-09-16,1.971,1.4
37924,1962,9,17,62.0917,259,1962-09-17,1.815,1.4
37925,1962,9,18,62.0918,260,1962-09-18,1.588,1.4
37926,1962,9,19,62.0919,261,1962-09-19,1.356,1.4
37927,1962,9,20,62.0920,262,1962-09-20,1.157,1.4
37928,1962,9,21,62.0921,263,1962-09-21,1.02,1.4
37929,1962,9,22,62.0922,264,1962-09-22,0.941,1.4
37930,1962,9,23,62.0923,265,1962-09-23,0.924,1.4
37931,1962,9,24,62.0924,266,1962-09-24,0.962,1.4
37932,1962,9,25,62.0925,267,1962-09-25,1.026,1.4
37933,1962,9,26,62.0926,268,1962-09-26,1.099,1.4
37934,1962,9,27,62.0927,269,1962-09-27,1.166,1.4
37935,1962,9,28,62.0928,270,1962-09-28,1.222,1.4
37936,1962,9,29,62.0929,271,1962-09-29,1.25,1.4
37937,1962,9,30,62.0930,272,1962-09-30,1.244,1.4
